"图解1"
"时间 (sec)","加速度1 (mm/sec**2)"
6.64000000000001,-5.09264865440053
6.68000000000001,-4.96474117681823
6.72000000000001,-4.81050580365526
6.76000000000001,-4.62854905665893
6.80000000000001,-4.41758932668952
6.84000000000001,-4.17647796470223
6.88000000000001,-3.90422018263737
6.92000000000001,-3.5999962119935
6.96000000000001,-3.26318095072517
7.00000000000001,-2.89336323843954
7.04000000000001,-2.49036317885287
7.08000000000001,-2.05424898091027
7.12000000000001,-1.58535053745696
7.16000000000001,-1.08427090651335
7.20000000000001,-0.551897901522849
7.24000000000001,0.0105896530851415
7.28000000000001,0.601718082111932
7.32000000000001,1.21970923129096
7.36000000000001,1.86248922585746
7.40000000000001,2.52768506034751
7.44000000000001,3.21262576355019
7.48000000000001,3.91434981755144
7.52000000000001,4.62961057140154
7.56000000000001,5.35488278633694
7.60000000000001,6.08636938434448
7.64000000000001,6.82000898759118
7.68000000000001,7.55148167681423
7.72000000000001,8.27621374768627
7.76000000000001,8.98938066230982
7.80000000000001,9.68590514966799
7.84000000000001,10.3604529795963
7.88000000000001,11.0074228168131
7.92000000000001,11.620924164398
7.96000000000001,12.1947562261572
8.00000000000001,12.7223629120583
8.04,13.196781765491
8.08,13.6105702980619
8.12,13.9557125243366
8.16,14.2234945447142
8.2,14.4043479379383
8.24,14.4876501433164
8.28,14.4614750002882
8.32,14.312286285741
8.36,14.0245675687298
8.4,13.5803906085178
8.44,12.9589422374353
8.48,12.1360646485115
8.51999999999999,11.0839485058227
8.55999999999999,9.77127908701449
8.59999999999999,8.16448715549996
8.63999999999999,6.23147469651789
8.67999999999999,3.95073759517789
8.71999999999999,1.33214554042669
8.75999999999999,-1.53690548682445
8.79999999999999,-4.38919247941948
8.83999999999999,-6.54812679619126
8.87999999999999,-6.4014516989569
8.91999999999999,-0.161357621444918
8.95999999999998,21.1360172567047
8.99999999999998,78.9950219737583
9.03999999999998,224.933400250337
9.07999999999998,573.61975277901
9.11999999999998,1294.78072322373
9.15999999999998,2087.07720673049
9.19999999999998,727.187379685368
9.23999999999998,-1917.06710073217
9.27999999999998,-1591.02731310323
9.31999999999998,-744.638193445487
9.35999999999998,-346.536671891454
9.39999999999998,-179.093115378499
9.43999999999997,-102.236459714182
9.47999999999997,-63.3489616119197
9.51999999999997,-41.9563428988375
9.55999999999997,-29.3562929749838
9.59999999999997,-21.5139598982073
9.63999999999997,-16.4100135503086
9.67999999999997,-12.9658114264465
9.71999999999997,-10.5724498966413
9.75999999999997,-8.86963256638862
9.79999999999997,-7.63539477539162
9.83999999999997,-6.72813306764569
9.87999999999997,-6.05471765639817
9.91999999999996,-5.55223680481092
9.95999999999996,-5.1771676395129
9.99999999999996,-4.8987496979686
10.04,-4.6948158423009
10.08,-4.54910186915177
10.12,-4.44947270182325
10.16,-4.38672557176782
10.2,-4.35377016504437
10.24,-4.34505447932712
10.28,-4.35615812068942
10.32,-4.38349892474356
10.36,-4.42411869361888
10.4,-4.47552217556439
10.44,-4.53555917806596
10.48,-4.60233830376498
10.52,-4.67414402245137
10.56,-4.7494001812995
10.5999999999999,-4.8266133118996
10.6399999999999,-4.90433721882768
10.6799999999999,-4.98117488523262
10.7199999999999,-5.05571400328019
10.7599999999999,-5.12654732281797
10.7999999999999,-5.1922438257172
10.8399999999999,-5.25134471731821
10.8799999999999,-5.30235572807237
10.9199999999999,-5.34374765402391
10.9599999999999,-5.37395328034679
10.9999999999999,-5.39141208209703
11.0399999999999,-5.3943887603008
11.0799999999999,-5.38130865473915
11.1199999999999,-5.35050993247889
11.1599999999999,-5.3003123837097
11.1999999999999,-5.22906556762169
11.2399999999999,-5.13514510104863
11.2799999999999,-5.01697271983023
11.3199999999999,-4.87303380791417
11.3599999999999,-4.70189750323607
11.3999999999999,-4.5022363634654
11.4399999999999,-4.27284830380972
11.4799999999999,-4.01267704763778
11.5199999999999,-3.72083278412075
11.5599999999999,-3.39661340507473
11.5999999999999,-3.0395230376503
11.6399999999999,-2.6492914247224
11.6799999999999,-2.22588896090119
11.7199999999999,-1.76954360680842
11.7599999999999,-1.28075207797913
11.7999999999999,-0.760291648317982
11.8399999999999,-0.209228178800677
11.8799999999999,0.371077413001021
11.9199999999999,0.978966811010525
11.9599999999999,1.61247763963824
11.9999999999999,2.26935155941564
12.0399999999999,2.94703266827251
12.0799999999999,3.64267037981366
12.1199999999999,4.35312682613355
12.1599999999999,5.0749831849833
12.1999999999999,5.80454593097984
12.2399999999999,6.53785471582625
12.2799999999999,7.27068832620896
12.3199999999999,7.99857031809456
12.3599999999999,8.71677230863578
12.3999999999999,9.42031466405005
12.4399999999999,10.1039631383655
12.4799999999999,10.7622204053682
12.5199999999999,11.3893103962522
12.5599999999999,11.9791557025302
12.5999999999999,12.5253420512221
12.6399999999999,13.021072183891
12.6799999999999,13.4590930413385
12.7199999999999,13.8316276921752
12.7599999999999,14.1302452871021
12.7999999999999,14.3457274207785
12.8399999999999,14.4678832775555
12.8799999999999,14.485321392751
12.9199999999999,14.385164614335
12.9599999999999,14.1527065212434
13,13.7710007846003
