"图解2"
"时间 (sec)","角位移1 (deg)"
7.84000000000001,-137.016204087688
7.88000000000001,-140.136204023258
7.92000000000001,-143.256203959085
7.96000000000001,-146.37620389616
8.00000000000001,-149.496203834207
8.04,-152.616203772198
8.08,-155.736203709378
8.12,-158.856203645474
8.16,-161.976203581258
8.2,-165.096203517291
8.24,-168.216203454066
8.28,-171.336203392003
8.32,-174.45620333084
8.36,-177.576203269193
8.4,179.303796791947
8.44,176.183796852909
8.48,173.063796914516
8.51999999999999,169.943796975484
8.55999999999999,166.823797036324
8.59999999999999,163.703797098344
8.63999999999999,160.58379716051
8.67999999999999,157.463797222969
8.71999999999999,154.343797284954
8.75999999999999,151.223797346663
8.79999999999999,148.103797408501
8.83999999999999,144.983797469725
8.87999999999999,141.863797531628
8.91999999999999,138.743797593041
8.95999999999998,135.623797654127
8.99999999999998,132.503797715925
9.03999999999998,129.383797778201
9.07999999999998,126.263797840424
9.11999999999998,123.143797902454
9.15999999999998,120.023797964798
9.19999999999998,116.903798027401
9.23999999999998,113.783798090363
9.27999999999998,110.663798152992
9.31999999999998,107.543798214496
9.35999999999998,104.423798274939
9.39999999999998,101.303798335095
9.43999999999997,98.1837983963189
9.47999999999997,95.0637984582061
9.51999999999997,91.9437985202079
9.55999999999997,88.8237985829175
9.59999999999997,85.7037986464932
9.63999999999997,82.5837987108552
9.67999999999997,79.4637987753015
9.71999999999997,76.3437988389706
9.75999999999997,73.2237989025137
9.79999999999997,70.1037989668227
9.83999999999997,66.9837990312963
9.87999999999997,63.8637990953
9.91999999999996,60.7437991603754
9.95999999999996,57.6237992257637
9.99999999999996,54.5037992908367
10.04,51.3837993564644
10.08,48.2637994216237
10.12,45.1437994868227
10.16,42.0237995517159
10.2,38.9037996165773
10.24,35.7837996826494
10.28,32.6637997486441
10.32,29.543799814627
10.36,26.4237998805814
10.4,23.3037999458925
10.44,20.1838000104613
10.48,17.0638000746261
10.52,13.9438001390444
10.56,10.8238002034397
10.5999999999999,7.70380026889658
10.6399999999999,4.58380033491409
10.6799999999999,1.46380040330619
10.7199999999999,-1.65619952901198
10.7599999999999,-4.77619946117177
10.7999999999999,-7.89619939397002
10.8399999999999,-11.0161993264891
10.8799999999999,-14.1361992576616
10.9199999999999,-17.2561991877858
10.9599999999999,-20.3761991179705
10.9999999999999,-23.4961990490317
11.0399999999999,-26.6161989812625
11.0799999999999,-29.7361989138284
11.1199999999999,-32.8561988461239
11.1599999999999,-35.976198777601
11.1999999999999,-39.0961987083274
11.2399999999999,-42.21619863788
11.2799999999999,-45.3361985668263
11.3199999999999,-48.4561984954068
11.3599999999999,-51.5761984242108
11.3999999999999,-54.6961983542399
11.4399999999999,-57.8161982850586
11.4799999999999,-60.9361982161581
11.5199999999999,-64.0561981462238
11.5599999999999,-67.1761980762498
11.5999999999999,-70.2961980053116
11.6399999999999,-73.4161979341897
11.6799999999999,-76.536197862091
11.7199999999999,-79.656197790052
11.7599999999999,-82.7761977189569
11.7999999999999,-85.8961976478498
11.8399999999999,-89.0161975763302
11.8799999999999,-92.1361975035771
11.9199999999999,-95.2561974297447
11.9599999999999,-98.3761973556525
11.9999999999999,-101.496197282531
12.0399999999999,-104.616197210667
12.0799999999999,-107.736197138641
12.1199999999999,-110.856197066299
12.1599999999999,-113.97619699395
12.1999999999999,-117.096196920996
12.2399999999999,-120.216196846803
12.2799999999999,-123.336196772197
12.3199999999999,-126.456196697733
12.3599999999999,-129.576196624399
12.3999999999999,-132.696196551858
12.4399999999999,-135.81619647976
12.4799999999999,-138.936196407467
12.5199999999999,-142.056196335333
12.5599999999999,-145.176196263884
12.5999999999999,-148.296196192077
12.6399999999999,-151.416196119429
12.6799999999999,-154.536196047296
12.7199999999999,-157.656195975003
12.7599999999999,-160.77619590211
12.7999999999999,-163.896195829681
12.8399999999999,-167.0161957578
12.8799999999999,-170.136195687333
12.9199999999999,-173.256195616403
12.9599999999999,-176.376195545706
13,-179.496195475527
