"图解3"
"时间 (sec)","线性位移2 (mm)"
8.16,574.945240574677
8.2,574.945240575312
8.24,574.945240575758
8.28,574.945240575893
8.32,574.945240575707
8.36,574.945240575237
8.4,574.945240574578
8.44,574.945240573929
8.48,574.945240573541
8.51999999999999,574.94524057367
8.55999999999999,574.945240574226
8.59999999999999,574.945240574905
8.63999999999999,574.945240575487
8.67999999999999,574.945240575844
8.71999999999999,574.945240575878
8.75999999999999,574.945240575586
8.79999999999999,574.945240575033
8.83999999999999,574.945240574356
8.87999999999999,574.945240573749
8.90999999999999,574.94524057513
8.91999999999999,574.945240573536
8.95999999999998,574.945240265685
8.99999999999998,574.961734908961
9.03129350328167,575.075958752592
9.03999999999998,575.127018083417
9.07999999999998,575.468963457354
9.11999999999998,575.986061125624
9.15297385540113,576.542600643845
9.15999999999998,576.676262716348
9.19999999999998,577.537035550613
9.23999999999998,578.492714957651
9.26270152613178,579.031412743756
9.27999999999998,579.439464507404
9.29035149586881,579.682526867005
9.30368395454626,579.994254216053
9.31999999999998,580.37356041411
9.32622105623866,580.517515803907
9.35999999999998,581.292191355992
9.35999999999998,581.292191355992
9.38968934149465,581.96247851361
9.39999999999998,582.192743884375
9.43066042096057,582.869275517785
9.43999999999997,583.072808551222
9.47363982971257,583.795458173774
9.47999999999997,583.930182940388
9.51999999999997,584.762871835174
9.55999999999997,585.569084654623
9.57999999999997,585.961757741686
9.59999999999997,586.347230413333
9.60999999999997,586.537213367851
9.63999999999997,587.095910460112
9.64999999999997,587.278330136778
9.67999999999997,587.813909288037
9.68999999999997,587.988489189258
9.71999999999997,588.500183731861
9.73999999999997,588.83114250216
9.75999999999997,589.153850922193
9.79999999999997,589.774175279677
9.80999999999997,589.923973276319
9.83999999999997,590.360554891876
9.86131111571822,590.65893418908
9.87999999999997,590.912507567051
9.91999999999996,591.429656833222
9.95999999999996,591.911718122141
10,592.358485345587
