"图解4"
"时间 (sec)","线性位移3 (mm)"
7.16000000000001,604.530100191659
7.20000000000001,604.010449442943
7.24000000000001,603.488988801484
7.28000000000001,602.96656517347
7.32000000000001,602.444073810911
7.36000000000001,601.922455996525
7.40000000000001,601.402696249917
7.44000000000001,600.8858190535
7.48000000000001,600.372885099897
7.52000000000001,599.864987065504
7.56000000000001,599.363244917433
7.60000000000001,598.868800763046
7.64000000000001,598.382813252681
7.68000000000001,597.906451546816
7.72000000000001,597.440888858766
7.76000000000001,596.98729558285
7.80000000000001,596.546832015769
7.84000000000001,596.120640675352
7.88000000000001,595.709838215835
7.92000000000001,595.315506931989
7.96000000000001,594.938685835479
8.00000000000001,594.580361275261
8.04,594.241457059272
8.08,593.922824016138
8.12,593.62522891264
8.16,593.349342613765
8.2,593.095727336701
8.24,592.864822805627
8.28,592.65693106025
8.32,592.472199605108
8.36,592.310602508011
8.4,592.17191896527
8.44,592.055708751358
8.48,591.961283873873
8.51999999999999,591.887675686611
8.55999999999999,591.833596733915
8.59999999999999,591.797396832238
8.63999999999999,591.777013599494
8.67999999999999,591.769919359363
8.71999999999999,591.773070208822
8.75999999999999,591.782871455226
8.79999999999999,591.795191845949
8.83999999999999,591.805498707856
8.87999999999999,591.809274071976
8.90999999999999,591.80564892072
8.91999999999999,591.803071491896
8.95999999999998,591.78703959064
8.99999999999998,591.770860923957
9.03129350328167,591.778078495031
9.03999999999998,591.787822337292
9.07999999999998,591.928545287917
9.11999999999998,592.421226879093
9.15297385540113,593.457886881518
9.15999999999998,593.805163712694
9.19999999999998,597.154778374188
9.23999999999998,603.534809932313
9.26270152613178,608.022493442275
9.27999999999998,611.232658817784
9.29035149586881,612.913305446167
9.30368395454626,614.754057726733
9.31999999999998,616.524673085109
9.32622105623866,617.076224085444
9.35999999999998,619.189667499772
9.35999999999998,619.189667499772
9.38968934149465,620.246997929846
9.39999999999998,620.507883790036
9.43066042096057,621.074012331503
9.43999999999997,621.199685350002
9.47363982971257,621.529354490957
9.47999999999997,621.574648408676
9.51999999999997,621.772239407823
9.55999999999997,621.861558367193
9.57999999999997,621.878017236189
9.59999999999997,621.879978198095
9.60999999999997,621.876270700444
9.63999999999997,621.849226393004
9.64999999999997,621.83554724647
9.67999999999997,621.782692094298
9.68999999999997,621.761553592458
9.71999999999997,621.689022292186
9.73999999999997,621.633902752097
9.75999999999997,621.574017026135
9.79999999999997,621.441687671817
9.80999999999997,621.406251201664
9.83999999999997,621.294877617093
9.86131111571822,621.211480407479
9.87999999999997,621.135641862803
9.91999999999996,620.965487718244
9.95999999999996,620.785532285836
10,620.596608379206
